scenario,engine,day,average_stress,average_burnout,average_productivity,turnover_count,active_employee_count
Balanced baseline,Custom,0,0.29239352543529923,0.08374098564892693,0.651629224357571,0,50
Balanced baseline,Custom,1,0.27327382620880264,0.06312124975269723,0.804656965196288,0,50
Balanced baseline,Custom,2,0.2546985679203797,0.04415738661397291,0.7922835850911912,0,50
Balanced baseline,Custom,3,0.23592460801171175,0.027396802647729545,0.8013332576208002,0,50
Balanced baseline,Custom,4,0.21918279851339192,0.015107974397383126,0.794843677832018,0,50
Balanced baseline,Custom,5,0.2047805250456372,0.007294744930751769,0.7820672355998552,0,50
Balanced baseline,Custom,6,0.19200458387936287,0.0033574378534354525,0.7857944577009561,0,50
Balanced baseline,Custom,7,0.18217525486697128,0.0009693319616320631,0.7938510673998881,0,50
Balanced baseline,Custom,8,0.17788300989852668,0.0,0.7901080281237266,0,50
Balanced baseline,Custom,9,0.17169258565587836,0.0,0.7812601950248437,0,50
Balanced baseline,Custom,10,0.1664111463752498,0.0,0.7817599696761175,0,50
Balanced baseline,Custom,11,0.16425104401311466,0.0,0.7829804457525489,0,50
Balanced baseline,Custom,12,0.1624832853569561,0.0,0.7860111763517792,0,50
Balanced baseline,Custom,13,0.16218455002709994,0.0,0.7889502810840061,0,50
Balanced baseline,Custom,14,0.16235571974119992,0.0,0.7837829545406464,0,50
Balanced baseline,Custom,15,0.16290720789281427,0.0,0.7848873243348301,0,50
Balanced baseline,Custom,16,0.16332869260966135,0.0,0.7832937040582884,0,50
Balanced baseline,Custom,17,0.1646721557989763,0.0,0.7857477089134082,0,50
Balanced baseline,Custom,18,0.1657314239062317,0.0,0.7870229609197785,0,50
Balanced baseline,Custom,19,0.16676767332909473,0.0,0.7858264322969656,0,50
Balanced baseline,Custom,20,0.16788452708870805,0.0,0.7825603207113457,0,50
Balanced baseline,Custom,21,0.1695600004122734,0.0,0.7865042779640821,0,50
Balanced baseline,Custom,22,0.17101436512669296,0.0,0.7854039066151566,0,50
Balanced baseline,Custom,23,0.17330636641869326,0.0,0.7835471600052961,0,50
Balanced baseline,Custom,24,0.17528359008989547,0.0,0.7883135972978924,0,50
Balanced baseline,Custom,25,0.17734448296428387,4.167541176389542e-06,0.7937581137736704,0,50
Balanced baseline,Custom,26,0.17899930158629127,2.8439007717465623e-05,0.7982227891704459,0,50
Balanced baseline,Custom,27,0.18090536649138972,7.488018040821552e-05,0.7885285438186064,0,50
Balanced baseline,Custom,28,0.182475904191499,0.00015834928075702016,0.7897182472732162,0,50
Balanced baseline,Custom,29,0.1850705990646807,0.00028610225875013465,0.7931479585222894,0,50
Balanced baseline,Custom,30,0.18774388714675344,0.00046236363692567396,0.791158362623941,0,50
Balanced baseline,Custom,31,0.18952515588234942,0.0006743879220394905,0.7857526839958094,0,50
Balanced baseline,Custom,32,0.19122229694668158,0.0008892143805844121,0.7945406059607858,0,50
Balanced baseline,Custom,33,0.19286091136953584,0.0011151923136175307,0.7878849270607937,0,50
Balanced baseline,Custom,34,0.19789203382451007,0.0013900807442634557,0.7818628847123479,0,50
Balanced baseline,Custom,35,0.19908711488641906,0.00172206748635017,0.7899056668875957,0,50
Balanced baseline,Custom,36,0.20032246774874274,0.002097468694748246,0.7910068636471554,0,50
Balanced baseline,Custom,37,0.20029003209016025,0.0024651485429448192,0.7836940820668077,0,50
Balanced baseline,Custom,38,0.20118611069729095,0.0028994197563676537,0.7893200793155097,0,50
Balanced baseline,Custom,39,0.20301662913717552,0.0033678657314623567,0.7920175793613039,0,50
Balanced baseline,Custom,40,0.20494999704746322,0.003876880093181757,0.7878972670498803,0,50
Balanced baseline,Custom,41,0.20639612970746576,0.004414985381520433,0.7881183689815259,0,50
Balanced baseline,Custom,42,0.21061494639269224,0.004972111067546377,0.7727152586205258,0,50
Balanced baseline,Custom,43,0.21405853905271663,0.005580583541582602,0.7763021287686803,0,50
Balanced baseline,Custom,44,0.21464988807319313,0.00619525735445708,0.7857399132944132,0,50
Balanced baseline,Custom,45,0.21530071631893002,0.006814192918868548,0.7892969076312337,0,50
Balanced baseline,Custom,46,0.2162498497739399,0.007436273539103953,0.7842831367076719,0,50
Balanced baseline,Custom,47,0.21668681233113396,0.008062342668819665,0.7844278243910036,0,50
Balanced baseline,Custom,48,0.21747790675871417,0.008693674656070276,0.7859448856711048,0,50
Balanced baseline,Custom,49,0.2178345926731047,0.009329138561182641,0.7804034530635537,0,50
Balanced baseline,Custom,50,0.21784624876097902,0.009975596264578607,0.7813348318109145,0,50
Balanced baseline,Custom,51,0.21798082639019253,0.010636715805633336,0.7828509335547955,0,50
Balanced baseline,Custom,52,0.21810948443416256,0.011314103848182095,0.781102881698311,0,50
Balanced baseline,Custom,53,0.21874567354803748,0.012005724352661869,0.7788038133062316,0,50
Balanced baseline,Custom,54,0.21915480147255004,0.012713212443608618,0.7854602533818538,0,50
Balanced baseline,Custom,55,0.21988378411317228,0.013430073913757154,0.7804857423038517,0,50
Balanced baseline,Custom,56,0.22010801931297944,0.01415668910945225,0.7855704733585879,0,50
Balanced baseline,Custom,57,0.22042457325306797,0.01489453837724455,0.7904519642032172,0,50
Balanced baseline,Custom,58,0.22076445423858335,0.01564196062763831,0.7857331491920314,0,50
Balanced baseline,Custom,59,0.22093381900017497,0.016391944856153175,0.7795254917818562,0,50
Balanced baseline,Custom,60,0.2212291446569713,0.017144459103071698,0.7751584128370798,0,50
Balanced baseline,Custom,61,0.22081261689681933,0.017898379183213565,0.7824259658628568,0,50
Balanced baseline,Custom,62,0.22075621568801945,0.01865647144059403,0.7758552923316728,0,50
Balanced baseline,Custom,63,0.22055806744433043,0.019415953413055784,0.7808931733580079,0,50
Balanced baseline,Custom,64,0.22038244706543658,0.0201763436442322,0.777514740931729,0,50
Balanced baseline,Custom,65,0.2201520647943457,0.020937761036396906,0.7771095826816173,0,50
Balanced baseline,Custom,66,0.21990395645726216,0.021700275549932355,0.7842767936110342,0,50
Balanced baseline,Custom,67,0.21941766153708786,0.022465364507632205,0.7799042944728289,0,50
Balanced baseline,Custom,68,0.21886585291162064,0.02323088906518186,0.7782071645569079,0,50
Balanced baseline,Custom,69,0.22041362413972337,0.023996690338662294,0.7749964598421325,0,50
Balanced baseline,Custom,70,0.220348669802026,0.024764694333724045,0.7759475009125402,0,50
Balanced baseline,Custom,71,0.21998210523838352,0.025533975735474983,0.782471747162934,0,50
Balanced baseline,Custom,72,0.2198940347485581,0.026304707581270476,0.7768762244186875,0,50
Balanced baseline,Custom,73,0.2195581826166612,0.02707652247040731,0.7798338208617133,0,50
Balanced baseline,Custom,74,0.2245577033331823,0.027868025403611905,0.7522772943442473,0,50
Balanced baseline,Custom,75,0.22374904749875488,0.028644801186932658,0.774712799230123,0,50
Balanced baseline,Custom,76,0.22358175697949634,0.02942300481327058,0.7743868961671028,0,50
Balanced baseline,Custom,77,0.22350456106012323,0.03020187826179521,0.7724719406838737,0,50
Balanced baseline,Custom,78,0.22360553553552026,0.030981975097655972,0.7743148221360342,0,50
Balanced baseline,Custom,79,0.223829842822114,0.0317659283788205,0.783615716716744,0,50
